movie,sentence,score
그대가 조국,안보신분이 계시다면 꼭 보시기를 바랍니다.대한민국은 민주공화국인가? 검찰 공화국인가?검찰의 칼날이 그대에게 향하지 않는다고 자신할수 있는가? .. 우리나라 언론이 어떤역활을 하는지 검찰은 없는 죄도 충분히 만드는데 견제가 힘든지 법은 누구를 위한것인지 ..그속에서 살아가는것이 얼마나 힘든일인지 깨닫습니다.,10
그대가 조국,조국은 이름 한 번 잘 지은 듯,1
범죄도시2,길가메시 뺨치는 파워~ ,10
범죄도시2,1편은 불편한 점이있었는데 2편은웃으면서 정말 재미있게 봤다,10
그대가 조국,데이터가 아깝다...,1
범죄도시2,와우 잼나요도시1   아주 잼났지요도시2   또한 아주 대만족 스럽습니다.도시3   도 꼭 만들어주세요간만에 머리비우고 잼나게 봤어요마동석에 장풍펀치  굿 박수~~,10
범죄도시2,너무 재밌게 봤어요! 추천합니다 : ),10
범죄도시2,강해상역의 손석구 배우님 최고입니다^^,10
그대가 조국,살아 계신 노무현 대통령. 조국 장관님 강건하시라~,10
범죄도시2,영화 속 개그가 진짜 개웃김,10
범죄도시2,무지 재밌다. 시원스러운 액션 멋지네,10
죽여주는 여자,"외로운 노후를 떠오르게하는 씁쓸한 내용이었다. 어떻게 대비를 해야할지, 미리고민하지 않으면 안되겠다",8
범죄도시2,강해상 ㄹㅇ 범죄자임 연기 장난아님 사운드 장난아님 무족권 영화관에서 봐야함 내가 쌍싸다구 맞는줄;;;;,10
그대가 조국,세상에 인과응보가 꼭 존재하길악인은 반드시 댓가를 받고 죽길간절히 기도해봅니다,10
그렇게 아버지가 된다,고레에다는 우리가 그들을 바라보는 시선을 거둔 뒤에도 삶이 계속 되고 있다는 것을 잊지 않는다 ,10
극장판 주술회전 0,레전드 레전드 레전드 걍 10번 보고싶음,10
그대가 조국,영화를보는내내 마음으로한숨과눈물이 끊이지않았습니다.이게내일이라면난진짜못버텼다라는생각이들정도로굉장히힘든나날들을보내고계실생각에 고통을분담하지못하는게죄송합니다ㅠㅠ그래도 여기서 굴복하면 지는것이고 그들이 제대로된 심판을받는그날까지 굳건히 건승하셔야됩니다!!!꼭힘내시고 억지로라도행복하세요!!!그들이바라는게 무너지는거니까요!! 영화여러번보고싶을정도로 너무잘만들고 주변지인들에게도 추천하겠습니다!!조국전장관님 힘내십시오!!!!,10
범죄도시2,구씨 그쪽 세계 사람인건 알았지만 이렇게 무서운 사람일줄은 몰랐네,9
범죄도시2,너무 재밌게 봤어요. 영화관에 있는 사람들이랑 처음부터 끝까지 웃었습니다,10
범죄도시2,초반 슈퍼마켓 장면에서 후시 녹음을 해서 그런지 최귀화 배우님의 입모양이랑 소리가 안 맞는 게 좀 신경 쓰였는데 그 뒤로는 그냥 재밌게 봄,9
범죄도시2,알바생 많이 풀었네요 1보다 재밌다고 거짓말하는것에 공감이 많다니.. 1편에 반정도라 생각하세요 사실 실망하며 나왔습니다 아마 알바들이 제글에 비공감 또 박을거에요 평점 9는 진짜 아님 7점짜리가 딱 맞음,7
그대가 조국,꼭 보아야하는 영화입니다,10
닥터 스트레인지: 대혼돈의 멀티버스,내가 마블을 잘 몰랐던걸까..,4
범죄도시2,마동석을 보는 것 만으로도 10점인 영화 ,10
범죄도시2,재미있게 잘 봤습니다.,8
범죄도시2,진짜 후회없는 영화였다,10
그대가 조국,정말 정말 어이가 없음이요,1
범죄도시2,오락영화로서 갖춰야 할 것들이 완벽한 영화 빠르고 재밌고 시원했다. 모든 배우의 연기력에 박수를,9
범죄도시2,코로나로 영화보는것도 잊었는데오랜만에 범죄도시 2영화보면서 재미있게 보고 갑니다~모든 배우님들 연기 놓치지않고 잘 봤어요 마동석 배우님 진짜 연기 최고!,10
범죄도시2,노잼 대체 왜 잼있다고 난리인지 아 내돈ㅜ,2
범죄도시2,1과 비슷하겠거니 하고 덤덤하게 보기 시작했는데 눈을 가렸다보고 입을 가렸다보고 주먹을 쥐었다폈다 ....다이나믹하게 감상하게 됩디다.,10
그대가 조국,전국팔도에 대깨를 고치는 방법은 없습니다.,1
그대가 조국,손바닥으로 하늘을 가릴 수는 없다,1
그대가 조국,민주사회를 살아가는 현재의 우리들이 한번쯤 봐야하는 영화.민주사회가 어떻게 위협받을 수 있는지 그 여실한 현실을 적날하게 파해친 최고의 다큐영화!!,10
범죄도시2,아 시발 여러분 당장 안보고 뭐해? 이건 극장에서 봐야해 제발,10
야차,김대희인줄김대희인줄,8
해적: 도깨비 깃발,흠...잘 모르겠는데 세훈님 가끔 나올때마다 광대가 올라갔어요,10
범죄도시2,"나눠줄께. 현실적인거 좋아하면 1, 약간 유머러스 + 속시원한거 좋아하면 2다. 나는 2선택 손석구 연기도 너무 좋았다.",10
그대가 조국,아~~~알고는 있었지만 너무 아프고 화가난다. 어찌합니까?  이 억울함을,10
범죄도시2,진짜 다시보고싶을정도로너무 재밌음 ,10
그대가 조국,검찰과 언론이 썩었는다는 걸 적나라하게 보여주는 영화,10
마이펫의 이중생활2,어린이 여러분 강아지는 고양이처럼 높은곳에서 떨어지면 목숨을 잃거나 크게다쳐요 절대 궁금해서라도 책장위에서 강아지를 떨어뜨려보면안되요 ㅠㅠ,9
그대가 조국,싹을 자르려다 잔디를 만들어 버렸다... ,10
히든, 혜인언니 너무 잘생겨서 홀린듯이 봣음.. ♥ ♥,10
범죄도시2,웃음포인트도 많고 중간에 몰입되어서 최춘배아내 울때 살짝 울컥하기도함..,10
뱅가드,영화한줄평&amp;#34;뽕쟁이 아들을 구하려는 아비의 처절함이 묻어있는 영화&amp;#34;,1
그대가 조국,"본인이 직접 당해보지 않으면 알 수 없는 검찰권력의 무서움을 알게 되고, 오직 본인들만 나라를 걱정하고 정의롭다는 검찰의 오만함,  검찰과 언론 등 소위 엘리트들의 이중기준,  절대 반성하지 않는 뻔뻔함을 보게 될 것이다. ",10
메리 미,노팅힐 2 버전 느낌?,6
닥터 스트레인지: 대혼돈의 멀티버스,마블시리즈가 요즘은 제일 재미있습니다,10
미드소마,쓰레기 무비 감독도 쓰레기....,4
어느 가족,사카야도 다시 집으로 돌아갔을까... 과연 어린 쇼타는 정말로 친부모에게 돌아갔을까... 막내 린은... 과연 정말로 친부모와 계속 살았을까...,10
범죄도시2,미침 꼭 보셈 ㄹㅇ 꼭 보셈요,10
보이스,다좋은데 변요한 김무열 너무 맷집이 좋아서 루즈해짐;,7
그대가 조국,잘 만든 영화란 생각이 들었습니다. 정치적 진영을 떠나 검찰조직이 이대로 괜찮은지 생각하게 하는 영화일 겁니다. 조국교수님을 지지하시는 분들보다 무관심했거나 비난하셨던 분들이 봐주셨으면 좋겠습니다.,10
범죄도시2,진짜 미쳤다 마동석과 손석구는 사랑이다,10
범죄도시2,진짜 재밌네요 ㅋㅋ  최근에 본 영화 중 탑!! 마동석 넘 웃겨요 ㅋㅋㅋ,10
프리즌 이스케이프,"긴장감을 놓을 수 없는 전개, 배우들의 연기가 좋았습니다. 영화의 극적인 감동을 위해 과한 장치를 만들어놓지 않은 점이 저는 더 좋았네요.",10
그대가 조국,검찰과 언론그들은 진정 누구란 말인가??그때의 검찰과 언론은 지금 어디 있지??그들도 꼭 이 영화를 봤으면 좋겠다 ,10
그대가 조국,검찰.언론.사법부가 한몸으로 막강한권력을 휘두를땐 진실도 정의도 모두다 부정당한다는걸 이영화를 보고알았습니다.너무도 무서운일이 현실이되었고 조국장관님과 가족들이 얼마나 힘드실지 보는내내 가슴이 먹먹하고 답답하네요ㅜ제2의 조국이 안나오란법 없을듯합니다.우리가 저들의 만행을 알고있어야개돼지가 안될듯합니다!!많은 분들이 보셔서 진실을 알았으면 합니다.,10
신비한 동물들과 덤블도어의 비밀,그냥 영화로 봐라 평론가 빙의해서없는거 있어보이려 하지 말구 ㅎ,10
범죄도시2,마동석만의 코믹은 아무도 못따라올듯,10
뜨거운 피,"경상도 사람이라 다행히 듣기에 어려운 부분은 없었습니다. 이쪽 계열 배우분들이 많이 나오셔서 뭔가 종합 선물 세트 같은 영화였네요. 스토리도 좋았고, 배우분들 연기가 정말 너무 좋았습니다. 식상할 수도 있는 내용이었지만, 끝까지 몰입감이 좋았네요. 감독님의 연출력도 훌륭했다고 생각합니다. 멋진 영화 잘 봤습니다.",8
범죄도시2,진짜 너무재밌음 코믹요소가 기가막힘,10
구직자들,내 삶은 인공인지 인간인지 갑인지 을인지 되돌아 보게 만드는 영화.끝까지 봐야 전하고자하는 메세지를 읽을 수 있다.남주의 교과서 같다는 연기도 캐릭터 설정이라는걸 끝까지보면 알 수 있다.,8
그대가 조국,다들 숨도 안쉬고 집중해서 본다는 느낌을 받았네요,10
애프터,연애세포를 깨워주는 영화,10
범죄도시2,시간가는줄모르고 잼있게봤네요 ,10
그대가 조국,언론과 검찰이 쏟아낸 뉴스들을 보며 감추고자 한 건 뭔지 드러나지 않은 진실은 뭔지 판단하는 것은 결국 우리들의 몫이다.,9
범죄도시2,재밋었어요 ㅎ ㅎ ㅎ 연기도 다들너무 잘해요,10
범죄도시2,"솔직히 진짜 잼있어요. 엄마랑 같이 봤는데, 엄마가 너무 잼있다고 하셨어요. 전작보다 덜 잔인해서 오히려 좋았고, 긴장감이 좋아서 시간가는 줄 모르고 봤어요. 역시 믿고 보는 마요미 이구요! 손석구님 요즘 대세남 답게 연기 정말 좋았습니다!!!",10
범죄도시2,"지극히 주관적인 견해를 가지고 감상평을 남겨봅니다.시원시원한 액션은 좋았으나, 뭐랄까 오프닝과 엔딩이 흡사 csi시리즈 같은 느낌이 들었어요.미국식 시리즈 드라마 같았어요.재미는 있었는데 아쉬워요ㅎㅎㅎㅎ",10
범죄도시2,시간순삭.몰입감최고.한시도 지루할틈없고 눈을뗄수없음.마동석 진짜 핵사이다 ♡실제로도 있었음하는 캐릭터네요~~손석구도 연기너무잘하네요  진짜 너무너무잼남 3탄이 기대되는영화.마블리표 개그와 영화틈틈이 웃음요소있어서 더잼났어요,10
그대가 조국,봉사활동 표창장 하나로 한집안을 이렇게 기획적으로 표적적으로 수사할수 있는지 사법은 정의는 죽었습니다 동양대 총장 (거짓말쟁이)의 표장장 준적없다는 그말만으로 위조? 이런 미친 나라가 있을까 검찰 판사들 이러고도 공정을 말하는 저사람들은 과연 70군데 압수수색 해도 당하고 있을까? 어이없는 20세기에 일어난 일 ~ 참 웃기는 세상 ,10
경관의 피,우식이 때문에 봤다하지만 그닥이엇다우식아 발음 연습 좀 하쟈 그리고 넌 그냥 로코만 찍자 ,6
범죄도시2,쥑인다….개꿀잼임ㅋㅋ,10
범죄도시2,정말 오랜만에 영화관에서 재밌게 봤어요액션이 시원시원하네요 추천해요!!,10
그대가 조국,진실은 꼭 밝혀질 것입니다!,10
범죄도시2,아니 이렇게 재밌을 수 있나요…?,10
범죄도시2,"1편에서는 명확하게 강조되었던 권선징악 느낌이 덜해서, 스토리적으로 악역을 잡았을 때 쾌감이 덜해요. 그 부분만 빼면 전체적으로 재밌었습니다. 스토리도 더 짜임새 있고, 액션은 진짜 훨씬 더 좋고, 사운드 효과도 좋았어요.",8
그대가 조국,모두가 왜 검찰이 수사권 조정을 당해야하는지 봐야할 영화.진짜.... 이걸 보면 바보도 이해한다.이해 못했다? 두번 보시라.,10
그대가 조국,조국 곁을 지키는 이들이 있어서 조국 가족이 버틸수 있었던거 같아요이 힘든 시간을 보내는 조국 가족에게 혼자가 아니라고 말씀드리고 싶어요,10
퍼펙트 페어링,영상미 좋아요. 호주 자연 풍경과 스토리 무난하고 볼만했어요^^ ,10
더 킹,지금 개봉하면 이 나라 개검의 썩은 속내가 드러나는데 썩어빠진 윗대가리들 곡소리 나길 기원한다,10
유체이탈자,강이안~~파이팅수고하셨어요~~~~,10
사이버 지옥: N번방을 무너뜨려라,피해자? 는 하나도 동정심도 없다 남의돈을 쉽게 먹으려던 패착? 단 한가지 화가 나는건 인간이 같은 인간에게 어떻게 저럴수 있을까다 남자 몸캠 널렸는데 그사람들은 동정 안하는거랑 똑같다 여자라서 동정하는건지..,2
그대가 조국,거짓은 참을 이길수 없습니다!,10
그대가 조국,탐탁해하지 않는 남편을 설득해 방금 상영을 마치고 나왔습니다. 보는 내내 마음이 너무 아프고 가슴이 무너져 내리는것 같았습니다. 정말 내가 살고있는 대한민국에서 벌어지고 있는일이 맞는가. 그 어떤 누구도 타겟이 되면 죄의 유.무에 관계없이 저렇게 무참하게 죽을수도 있겠구나 싶었습니다.남편도 마음에 충격이 오는지 한숨만 푹푹 쉬고 있네요.많은 사람들이 봐야할 아니 꼭 봐야만 할 실화입니다. 언제든 대한민국이 5.18같은 일도 다시 일어날수 있고 힘없고 나약한 국민으로 전락할수도 있겠다는 두려움도 생깁니다. 내아이가 살아가야할 미래를 생각하니 너무 참담하고 무겁습니다.많은 분들 아직 못보신분들.언론에 속아 표적수사에 속아 가려진 현재 벌어지고있는 만행을  국민인 우리 스스로 깨우치고 바로 잡아나가야 우리 아이들이 살아갈 세상이 나아지지 않을까요 국민이 진실을 볼줄아는 눈이 절실히 필요할 때입니다.  잠이 오지않을것 같은 날이네요,10
"색, 계",주연배우들의 열연..최고였다,10
서울괴담,모두 재미없는 것이 특징뻔한 예측 가능한 이야기들…,1
범죄도시2,장르가 마동석! 마동석님의 위트있는 대사소화력과 묵직한 액션으로 재밌게 봤습니다. 손석구 배우님의 잔인무도한 연기 몰입감 대박이었습니다. 소리들이 너무 리얼해서 무서웠네요ㅠ,10
모비우스,배트맨이 생각나는 박쥐 히어로. 베놈보단 재미가 있었던 영화,8
나랏말싸미,"차 후, 재조명 될 영화임",10
그대가 조국,지 자식 조작으로 의사만든 새끼 이야기,1
범죄도시2,마블리 넘 조아요 ^^ㅎㅎ. 3 가즈아,10
닥터 스트레인지: 대혼돈의 멀티버스,초반은 재밌었는데.. 뒤로 갈수록 연출력이 아쉬웠다. 다양한 캐릭터가 나와서 좋았지만..,7
그대가 조국,이런게 영화로나오다니 ㅋㅋㅋ 진짜 역겹고 추악하더라,1
범죄도시2,"박지환 배우 때문에 마냥 웃었던 영화 박지환 배우의 연기는 최고!!마동석 배우가 나온 액션영화는 속이 다 시원해요.제가 좋아하는 마동석 박지환 배우가 나오면 너무 재밌어요.테이큰,제이슨본 시리즈처럼 3탄 가즈아~~",10
범죄도시2,배우들 연기로 끝내버린 영화!!,10
범죄도시2,킬링타임으로 좋은 영화! 마동석 배우 액션은 믿고 봅니다,8
그대가 조국,검찰개혁의 선두에섰다는 이유로 고초를 당하고 있는 조국 일가에 한없는 연민과 미안함과 고마움을 느낍니다. 긴 어둠의 터널 끝에 찬란한 빛이 반드시 있을 겁니다. 조금만 더 힘내 주십시오. ,10
그대가 조국,이런 좌빨 영화를 개봉시키다니 참... 부끄러운줄 알아라,1
슬로우 웨스트,여자한테 올인하지 마라는 교훈의 영화다..잘보고 명심해라 인구의 절반이 여자고 여자가 남자보다 많은 게 지금의 한국이다..,4
범죄도시2,진심 뭘보고재밋다는건지모르겠네요...,1
범죄도시2,진짜 개재밌네 ㅋㅋㄱㅋ,10
킹덤,와 진짜 숨은 명작. 이걸 이지 봤네,10
뜨거운 피,큰 기대안하고 보면 큰수확 대박영화는 아니지만 영화 강릉정도의 기대치로 봤기때문에 나름 괜찮았던 영화,7
그대가 조국,"무섭다.대한민국 검찰과 언론...그리고, 판사.검사의 사냥과 그에 적극 동조하는 자들의 세상이 된 대한민국이.조국은 그 누구도 될 수 있음을 모두가 알아야 한다.그 사냥의 대상은 너, 나...우리 모두일 수 있다.당신 가족중에 특수부 검찰이 없다면 조심하라! ",10
범죄도시2,1편보다 액셔은 강화되었으나 인간미는 부족한게 느껴진다. 흡사 한국판 마블 히어로물 같은 느낌이랄까...,6
범죄도시2,넘넘 재밌어요^^ 마동석외 반장님 구씨 등등 멋져부러 ~~  추천영화!!!,10
해적: 도깨비 깃발,정말 배우들이 아깝다고 생각하고 본 영화네요. 끝까지 보는둥 마는둥 시간낭비,4
범죄도시2,주먹이 대포소리가 날수 있구나 ㅋㅋ,10
그대가 조국,정치성향 관계없이 꼭 보기를 추천함. 만들어진 진실은 진실이 아님. 조국 정신력에 감탄함. 윤석열과 한동훈 외 검찰은 조국기준으로 사형이란 생각이 듬. 니들 입맛에 맞춘 공정과상식 필요없다,10
닥터 스트레인지: 대혼돈의 멀티버스,여러 작품을 봐야되는 어려움. 마블 전편의 스파이더맨이랑 비교했을때 아쉬움이 큰작품이라는 생각이드는군요,7
유체이탈자,킬링타임용으로 추천~ 아저씨이후로 괜찮은 액션신이 나온듯,7
범죄도시2,1 안 봤는데 진짜 너무 재미ㅆ아요,10
범죄도시2,"몰입도 좋고,시간이 휘리릭지나갔습니다. 정이수골수팬되었어요.",9
그대가 조국,이딴걸... 영화로 만들어?,1
범죄도시2,왖 ㅣ진짜 여러번 봐도 안질림,10
그대가 조국,해결된것은 없다해결할수있는것도없다그러나 사실을 사실대로 알아야한다그리고 알려야한다민주주의는 깨어있는 시민에 의해 한걸음  나아갈 수있다,10
그대가 조국,"날조된 것은 스펙이오, 빼앗긴 것은 어느 힘없는 평범한 가정에서 태어난 청년의 합격증이지..자신의 신념과 반하는 것은 보려고, 들으려고 하지도 않는 인지적 오류, 잘못된 것을 합리적으로 비판하지 못하는 무지성이 나치즘, 문화대혁명, 킬링필드, 맥카시즘 등 역사적으로 수많은 살상을 일으킨 사상/사건들의 배경이 되었는데, 21세기 대한민국의 무지몽매한 대중은 그 역사로부터 무엇을 배운 것인가.",1
그대가 조국,검찰 똘아이 하나가 역사의 물길을 막다. 몇 배의 대가를 치를 것이다,10
그대가 조국,검찰공화국 시대의 희생양 조국.정치인들중에 조국 보다 깨끗한 사람들 없을거 같은데.천벌 받을 인간들 많네.,10
닥터 스트레인지: 대혼돈의 멀티버스,스파이더맨에 이서 완다비전 까지의 떡밥들이 완결지어져서 좋았다,9
범죄도시2,마동석을 가장 잘 보여주는 영화 시리즈.,8
그대가 조국,영화를 마치고 나오는 관객들의 표정이 다들 나처럼 할말을 잃어버린 표정이였다.  썩어빠진 언론과 사법부에 대한 비판은 1도 아깝고 가치가 없다.,10
범죄도시2,3도 만들어 주세요!!,10
그대가 조국,진실이 무엇인지 언젠가는 밝혀진다,10
범죄도시2,마동석 형님의 파워는 최고다..,10
연애 빠진 로맨스,구씨 때문에 여기까지 왔는데연기를 너무 잘해 너무 재밌었어요,9
범죄도시2,잠시도 눈을 떼지 못했다믿고 볼수있는 영화,9
범죄도시2,누가 5야? ㅋㅋㅋㅋ 너무 재미있었어요,10
피는 물보다 진하다,b급도 안되는 하류 영화 감동도 재미도 없음…,1
솔트,마지막까지 가슴졸이며,10
데드캠핑 더라이브,별 생각없이 봤는데 연기 너무 좋았어요 주인공 감정연기도 액션연기도 인상적이었습니다 굉장히 적은 인원으로 진행한거 같은데 고생하셨네요.. 피튀기는 cg가 많이 어색해서 살짝 흐린눈으로 봤어요 킬링타임용으로 괜찮습니다 ,10
닥터 스트레인지: 대혼돈의 멀티버스,돈아깝다무슨내용인지도 모르겄고겁나지루함,2
그대가 조국,예매를 했지만 결국 극장엔 결국 못 갔습니다. 볼 자신이 없어서.. MB 같은 대통령 권력형 비리도 이렇게 잔인하게 가족 전부를 타겟으로 삼진 않았습니다,10
배드 트립,영화 참 추잡하네 ㅋㅋㅋ,10
범죄도시2,장이수 짱 짱 짱 ~~~~,10
범죄도시2,왠만한 외국영화보다 재밌음,10
범죄도시2,코로나로 피폐해진 일상을 정상으로 돌려준 영화!재미 있습니다꼭 보세요~,10
유체이탈자,개연성이 없어도 너무 없고...,5
닥터 스트레인지: 대혼돈의 멀티버스,시간이 가는 줄 모르고 봤어요,10
범죄도시2,고2때 범죄도시1편 보고 학교에서 애들이랑 맨날 대사 따라하면서 연극까지했을정도로 푹빠졌었는데 이번 2편은 내 1편의 기억을 완전히 대체해버림. ㄹㅇ속편보다 나은 후속작이었다. 그럼이제 3편까지 기대하며...,10
범죄도시2,진짜 너무 재밌어서 다시 보고싶어요 ㅜㅜㅜㅜ,10
그대가 조국,언젠가 되짚어봐야 할 우리 시대의 기록,10
노인을 위한 나라는 없다,내가 아직 영화보는 눈이 덜 성숙한걸까?아니면 사람들과 평론가들이 군중심리로 평점을 높게 부여한걸까?중간에 숨이 턱막히는 긴장감은 있었으나 마지막엔 이게 뭔영화지? 하는 느낌을 받았다.여러번 더보면 이해할지도 모르겠다.,6
그대가 조국,와....돈 시간 아깝다,2
그대가 조국,"대한민국이 문재인 정부를 거치면서 이제는 더럽고 추악한 내로남불의 상징이 된 인간까지 미화하는 지경에까지 오다니, 개탄스러울 뿐이다.",2
범죄도시2,강해상의 몸을 까지 말았어야 했다 야생의 거친 인상에 헬스장에서 프로틴과 스테로이드로 급조된듯한 몸 매칭이 안됨,5
그대가 조국,가족과 보길 잘했다고 생각해요,10
범죄도시2,역대급이란 말 말곤 나오지 않는다 무조건 한 번 보시기 바랍니다 스트레스가 쫙 풀립니다,10
범죄도시2,타격감이 좋아요 ㅋㅋㅋㅋ,10
그대가 조국,무척 감동적 입니다많은 분들이 꼭  보시길,10
범죄도시2,재밌어요 1에비해 가볍고 코미디요소많음,10
닥터 스트레인지: 대혼돈의 멀티버스,스토리공감 안되고...,6
범죄도시2,진짜 이런영화는 없었다.,10
범죄도시2,버스에서 싸우는 씬이 가장 재미있었고 멋있었다,10
범죄도시2,5대5랑 인삼주 애드립이야? 웃기네재밌당,10
범죄도시2,통쾌하고 시원시원 함역시 믿고보는 마동석,10
그대가 조국,이미 어느정도 예상을 하고 봤음. 역시나..누군가는 조국이라는 사람과 그의 가족이 뭐가 중요해서 이런 영화를 만들었냐 말하지만. 이것은 바로 나의 이야기이기 때문이다. 그리고 바로 당신의 이야기가 될 수 있기 때문이다. 조국님! 힘내세요. ,10
특송,기대없이 봤는데 생각보다 재밌었음!! 아역 연기 잘함,8
그대가 조국,우리에게 3번의 봄이오고 가을이 오고 그모든순간속에 어두운터널로 기억될 조국님의 인생컷이 알려지게되고 공감받도록 세상에 나오게되어 고맙습니다 이제 당신의 인생길이 환하게 꽃길이 되길 기도하겠습니다,10
몬스터 헌터 - 귀멸의 검,아니 이거 밀라요보비치 몬헌 아니라구요ㅋㅋㅋ,6
범죄도시2,미쳤다 찢었다 진짜 ㅋㅋ저는 20대 여자입니다 엄청 무섭고 잔인한 장면들이 나왔지만 중간중간 나오는 재미난 장면들에 정말정말 재미있게 봤습니다데이트로도 추천해요!!!! 와..ㅋㅋㅋ진짜 인생영화입이다 ㅋㅋ,10
범죄도시2,1편보다 더 재밌게 즐겼음 몰입감이 아주 좋았습니다,10
배드 가이즈,그냥 보세요 제발 봐주세요 이 사랑스러운 귀요미들의 일상을 영화 한 편으로 놓칠 수 없습니다 많이 봐서 대박 나게 해주세요,10
그대가 조국,아주 드라이하게 사실만 전달하려고 애쓰신게 보이네요..한가정이 겪고있는 그 살을 억지러 떼어내는 고통의 시간이 너무 가슴아파서 당분간 일상울 살기가 무섭고 웃기가 싫으네요..검찰 수사권 싹 빼앗아야 합니다대한민국 검찰은 그것을 가질 자격이 없습니다!!,10
그대가 조국,아주 드라이하게 사실만 전달하려고 애쓰신게 보이네요..한가정이 겪고있는 그 살을 억지러 떼어내는 고통의 시간이 너무 가슴아파서 당분간 일상울 살기가 무섭고 웃기가 싫으네요..검찰 수사권 싹 빼앗아야 합니다대한민국 검찰은 그것을 가질 자격이 없습니다!!,10
그대가 조국,아주 드라이하게 사실만 전달하려고 애쓰신게 보이네요..한가정이 겪고있는 그 살을 억지러 떼어내는 고통의 시간이 너무 가슴아파서 당분간 일상울 살기가 무섭고 웃기가 싫으네요..검찰 수사권 싹 빼앗아야 합니다대한민국 검찰은 그것을 가질 자격이 없습니다!!,10
로스트 시티,A급 배우 2명 나온다고 무조건 잼있을거라고 생각하면 오산,4
범죄도시2,한국형 히어로물. 실화를 모티브로 구성한 내용도 좋고 마형사의 펀치는 속 시원하다.,9
닥터 스트레인지: 대혼돈의 멀티버스,재미있어요 닥스3 기대되네요,9
그대가 조국,모두가 받으면 하는 영화.,10
범죄도시2,구씨ㅠ너무 재밌자냐또보러갈꺼야,10
범죄도시2,5점을   안  줄수가없네요~,10
인민을 위해 복무하라,생각보다 괜찮은 저평가된 영화.  연우진의 연기로 인해 여운이 남는..  ,8
범죄도시2,존잼 시간가는줄 모르고 본 영화는 진짜오랜만 ,10
범죄도시2,진짜 잼나요.감독판 나왔으면,10
다가오는 것들,솔직히 나에게는 어려운 영화다..더 나이들면 공감하려나?,3
범죄도시2,너~~~무 재밌어요 15세지만 아이들이 보기엔 잔인한장면이 많아서 안보는게 좋을것같아요심각할것같은 범죄영화에 빵빵터지는 장면들이 많아서 진짜 간만에 웃으면서 너무 재밌게 봤어요,10
범죄도시2,이게 9점이요?...,7
토스카나,내가 뭘 본거지..  토스카나 풍광 빼면 시간이 너무 아깝다 ,1
범죄도시2,"마동석 배우, 손석구 배우의 연기가 굉장히 인상적이었고 잠시도 눈을 뗄 수 없었어요ㅠㅠㅠㅠ 정말 이번년도 들어 최고로 재밌게 본 영화입니다",10
올드,소재는 괜찮은데  감독 자기도 어떻게 수습해야할지 몰라서 어설프게 끝낸느낌  결말 허무그자체,1
범죄도시2,ㅗㅜㅑ…ㅗㅠㅑ오우야,10
모비우스,유능한 감독인데.. 연출이 너무 후지다.. 러닝 타임줄이려는 편집이 후짐..,6
하이 크라임,"애슐리의 하이크라임, 더블크라임 둘 다 재미남!! ",10
닥터 스트레인지: 대혼돈의 멀티버스,역시 마블이다!!  완다는 사랑ㅜㅜ,10
범죄도시2,정말 재미 없다 이영화 정말 보면 돈 시간 낭비 합니다 이영화 절대 보지 마세요 정말 비추천 합니다,1
어부바,뭔가 아리까리한데 어째든 소소하게 볼만 했습니다. 근데 배우들 연기가 뭔가 그리 어설프게 보이는지..정준호 분은 케릭터 변신을 하던 해야지 너무 가벼운 느낌이라 진지한 느낌이 잘 안사네요,5
범죄도시2,오랜만에 좋은영화 잘 관람 했습니다,10
유체이탈자,킬링타임으로 볼만하고 잼남,8
그대가 조국,잘 몰랐던 사실을알게되어 화가나고 분노가 치밀었습니다,10
범죄도시2,강해상이 코로나라고 생각하고 보시면 될것 같습니다! ,10
그대가 조국,"이게 영화가아니라 현실이라는게ㅜ 일반국민들은 피씨1,2 라느니 동양대총장이 라느니 ip 라느니,,, 이런건 관심이 없구나.. 그저 언론이 의혹보도하면 그게 다구나.... 이러니 검찰과 언론의 플레이에 개돼지가 된다는게 너무... 국민을 쉽게볼지 너무 부끄러웠음 이제부터라도 진실을 하나하나 따져 직접 판단해야겠구나.. 싶네요 그러므로 검찰,언론개혁 필수.",10
무뢰한,배우로 설득시키는 영화가 있다,9
그대가 조국,아... 열받을까봐. 안볼란다 하였지만 봐버림. 역시나 열받아 나왔다. 문 대통령의 최대 실수가 윤석렬을 검창총장으로 띄운 것. 역사의 한장면을 봤다. 윤술꾼이 이나라를 한순간에 천박하게 만들어 속상한 요즘.,10
닥터 스트레인지: 대혼돈의 멀티버스,솔직히 마블을 재밌게 봐왔던입장에서는 나쁘지않았다고 생각하지만완다비전에 대해 유튜브로 안봤다면 뭔 내용인지 몰랐을거같다 그리고 이게 12세라고요?,6
그대가 조국,이제껏 본 영화중 가장 무서운영화. 더 소름끼치는건 현재 진행형이라는것. 대한민국 국민 모두가 꼭 봐야합니다!!!,10
그대가 조국,보는 내내 가슴 먹먹함이 있었습니다 나의 답답함이 해결되는 날이 빨리 오길 기대해봅니다,10
스텔라,"각종 해외 영화제 수상하는 현재, 이런 영화는 그만 만들었으면 좋겠다. ",1
범죄도시2,주먹왕 타격감최고!!!,10
공기살인,국가는 누굴 위해 존재하는지에 대한 의문을 갖게하는 영화. 과연 정부는 이일을 해결할 의지를 가지고 있는지.. 많은 생각을 들게 하는 영화네요 ,10
